Institution,Institution Type,County,Fiscal Year,Date,Corrections Population,Address + Lat/Long
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2016-2017,03/31/2017,501,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2016-2017,10/31/2016,2518,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2015-2016,05/31/2016,1601,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2016-2017,12/31/2016,1396,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2016-2017,07/31/2016,2497,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Chester (CHS),State Correctional Institution,Delaware,FY 2017-2018,05/31/2018,1280,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2016-2017,03/31/2017,1581,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Rockview (ROC),State Correctional Institution,Centre,FY 2017-2018,07/31/2017,2361,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Rockview (ROC),State Correctional Institution,Centre,FY 2017-2018,12/31/2017,2401,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2016-2017,09/30/2016,2412,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2015-2016,01/31/2016,2453,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2017-2018,03/31/2018,1509,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2015-2016,09/30/2015,145,"N/A
N/A, N/A N/A"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2015-2016,11/30/2015,2496,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2016-2017,02/28/2017,1153,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2016-2017,09/30/2016,2513,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2016-2017,04/30/2017,106,"N/A
N/A, N/A N/A"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2015-2016,10/31/2015,2298,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2015-2016,10/31/2015,1429,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2016-2017,05/31/2017,1134,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2017-2018,05/31/2018,155,"N/A
N/A, N/A N/A"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2015-2016,08/31/2015,234,"N/A
N/A, N/A N/A"
In County Jails,County Jails,N/A,FY 2016-2017,02/28/2017,429,"N/A
N/A, N/A N/A"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2016-2017,02/28/2017,3417,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2018-2019,09/30/2018,1597,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2016-2017,11/30/2016,103,"N/A
N/A, N/A N/A"
Chester (CHS),State Correctional Institution,Delaware,FY 2017-2018,12/31/2017,1279,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2014-2015,06/30/2015,1383,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2017-2018,09/30/2017,2312,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2016-2017,07/31/2016,1400,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2015-2016,12/31/2015,78,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2018-2019,09/30/2018,486,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2017-2018,11/30/2017,167,"N/A
N/A, N/A N/A"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2017-2018,08/31/2017,197,"N/A
N/A, N/A N/A"
In County Jails,County Jails,N/A,FY 2017-2018,06/30/2018,396,"N/A
N/A, N/A N/A"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2015-2016,11/30/2015,2146,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Chester (CHS),State Correctional Institution,Delaware,FY 2017-2018,03/31/2018,1273,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2015-2016,02/29/2016,1188,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Muncy (MUN),State Correctional Institution,Lycoming,FY 2016-2017,08/31/2016,1434,"Box 180 Route 405
Muncy, PA 17756
(41.20239, -76.824645)"
In Federal Prisons,Federal Prisons,N/A,FY 2017-2018,12/31/2017,8,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2018-2019,09/30/2018,1501,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2017-2018,05/31/2018,2365,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2015-2016,07/31/2015,2473,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2017-2018,04/30/2018,1232,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Chester (CHS),State Correctional Institution,Delaware,FY 2017-2018,10/31/2017,1268,"500 E. 4th Street
Chester, PA 19013
(39.851157, -75.35134)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2016-2017,04/30/2017,1155,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2016-2017,05/31/2017,2310,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2015-2016,05/31/2016,72,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2016-2017,03/31/2017,1394,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2018-2019,07/31/2018,2173,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2015-2016,09/30/2015,2475,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
In County Jails,County Jails,N/A,FY 2015-2016,10/31/2015,987,"N/A
N/A, N/A N/A"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2015-2016,07/31/2015,2128,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2015-2016,08/31/2015,3612,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2018-2019,11/30/2018,145,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2017-2018,01/31/2018,1461,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2017-2018,01/31/2018,108,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2015-2016,08/31/2015,488,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Huntingdon (HUN),State Correctional Institution,Huntingdon,FY 2016-2017,07/31/2016,2113,"1100 Pike Street
Huntingdon, PA 16654
(40.491446, -78.027713)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2017-2018,10/31/2017,186,"N/A
N/A, N/A N/A"
Albion (ALB),State Correctional Institution,Erie,FY 2015-2016,09/30/2015,2246,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2016-2017,04/30/2017,372,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2017-2018,09/30/2017,1450,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2016-2017,12/31/2016,1350,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2015-2016,08/31/2015,126,"N/A
N/A, N/A N/A"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2017-2018,07/31/2017,3564,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,09/30/2017,1352,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2015-2016,08/31/2015,1092,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2018-2019,10/31/2018,2144,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
In County Jails,County Jails,N/A,FY 2017-2018,08/31/2017,340,"N/A
N/A, N/A N/A"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2017-2018,07/31/2017,245,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,03/31/2018,1409,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
In County Jails,County Jails,N/A,FY 2016-2017,11/30/2016,489,"N/A
N/A, N/A N/A"
Greene (GRN),State Correctional Institution,Greene,FY 2018-2019,10/31/2018,1766,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2015-2016,01/31/2016,74,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2018-2019,08/31/2018,1489,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2018-2019,01/31/2019,1066,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Somerset (SMR),State Correctional Institution,Somerset,FY 2015-2016,07/31/2015,2393,"1590 Walters Mill Road
Somerset, PA 15510
(39.962928, -79.036824)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2018-2019,12/31/2018,125,"N/A
N/A, N/A N/A"
Camp Hill (CAM),State Correctional Institution,Cumberland,FY 2017-2018,03/31/2018,3606,"P.O. Box 8837, 2500 Lisburn Road
Camp Hill, PA 17001
(40.217356, -76.925883)"
Community Corrections Center - Central,Community Corrections Center,N/A,FY 2017-2018,01/31/2018,234,"N/A
N/A, N/A N/A"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2015-2016,11/30/2015,140,"N/A
N/A, N/A N/A"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2017-2018,07/31/2017,180,"N/A
N/A, N/A N/A"
Waymart (WAM),State Correctional Institution,Wayne,FY 2018-2019,07/31/2018,1490,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
In County Jails,County Jails,N/A,FY 2017-2018,01/31/2018,375,"N/A
N/A, N/A N/A"
Albion (ALB),State Correctional Institution,Erie,FY 2015-2016,03/31/2016,2232,"10745 Route 18
Albion, PA 16475
(41.877428, -80.362796)"
Greene (GRN),State Correctional Institution,Greene,FY 2018-2019,09/30/2018,1814,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2015-2016,01/31/2016,1180,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Rockview (ROC),State Correctional Institution,Centre,FY 2015-2016,07/31/2015,2377,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Rockview (ROC),State Correctional Institution,Centre,FY 2015-2016,05/31/2016,2371,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2017-2018,12/31/2017,1394,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Fayette (FYT),State Correctional Institution,Fayette,FY 2016-2017,09/30/2016,2042,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Laurel Highlands (LAU),State Correctional Institution,Somerset,FY 2017-2018,09/30/2017,1587,"5706 Glades Pike
Somerset, PA 15501
(40.003555, -79.042639)"
Rockview (ROC),State Correctional Institution,Centre,FY 2014-2015,06/30/2015,2379,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2018-2019,08/31/2018,102,"N/A
N/A, N/A N/A"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2015-2016,11/30/2015,2458,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Community Contract Facility - Eastern,Community Contract Facility,N/A,FY 2015-2016,05/31/2016,266,"N/A
N/A, N/A N/A"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2015-2016,10/31/2015,1151,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2017-2018,04/30/2018,2318,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Mahanoy (MAH),State Correctional Institution,Schuylkill,FY 2015-2016,03/31/2016,2406,"301 Morea Road
Frackville, PA 17932
(40.792482, -76.180808)"
Rockview (ROC),State Correctional Institution,Centre,FY 2018-2019,08/31/2018,2386,"1 Rockview Place
Bellefonte, PA 16823
(40.850306, -77.776379)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,09/30/2018,134,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2017-2018,09/30/2017,2399,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Greene (GRN),State Correctional Institution,Greene,FY 2017-2018,12/31/2017,1772,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2017-2018,08/31/2017,2153,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2014-2015,06/30/2015,1749,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2015-2016,12/31/2015,1151,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Waymart (WAM),State Correctional Institution,Wayne,FY 2016-2017,02/28/2017,1391,"P.O. Box 256 Route 6
Waymart, PA 18472
(41.574281, -75.426893)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2017-2018,05/31/2018,68,"N/A
N/A, N/A N/A"
Smithfield (SMI),State Correctional Institution,Huntingdon,FY 2016-2017,08/31/2016,1367,"1120 Pike Street
Huntingdon, PA 16652
(40.498903, -78.034451)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2017-2018,02/28/2018,121,"N/A
N/A, N/A N/A"
Cambridge Springs (CBS),State Correctional Institution,Crawford,FY 2017-2018,08/31/2017,1192,"451 Fullerton Avenue
Cambridge Springs, PA 16403
(41.798439, -80.056353)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2018-2019,10/31/2018,125,"N/A
N/A, N/A N/A"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2016-2017,01/31/2017,2247,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Graterford (GRA),State Correctional Institution,Montgomery,FY 2018-2019,09/30/2018,0,"P.O. Box 246, Route 29
Graterford, PA 19426
(40.233117, -75.431678)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2016-2017,04/30/2017,118,"N/A
N/A, N/A N/A"
Fayette (FYT),State Correctional Institution,Fayette,FY 2016-2017,05/31/2017,2142,"50 Overlook Drive
LaBelle, PA 15450
(40.000859, -79.988322)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2014-2015,06/30/2015,2439,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Dallas (DAL),State Correctional Institution,Luzerne,FY 2018-2019,12/31/2018,2154,"1000 Follies Road
Dallas, PA 18612
(41.272823, -76.011614)"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2016-2017,06/30/2017,0,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Houtzdale (HOU),State Correctional Institution,Clearfield,FY 2016-2017,04/30/2017,2480,"209 Institution Drive
Houtzdale, PA 16698
(40.812493, -78.356337)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2017-2018,05/31/2018,133,"N/A
N/A, N/A N/A"
Mercer (MER),State Correctional Institution,Mercer,FY 2016-2017,01/31/2017,1376,"801 Butler Pike
Mercer, PA 16137
(41.201825, -80.224013)"
Retreat (RET),State Correctional Institution,Luzerne,FY 2018-2019,08/31/2018,1107,"660 State Route 11
Hunlock Creek, PA 18621
(41.187536, -76.081427)"
Frackville (FRA),State Correctional Institution,Schuylkill,FY 2016-2017,01/31/2017,1177,"1111 Altamont Boulevard
Frackville, PA 17931
(40.771734, -76.209068)"
In Federal Prisons,Federal Prisons,N/A,FY 2015-2016,11/30/2015,7,"N/A
N/A, N/A N/A"
Pittsburgh (PIT),State Correctional Institution,Allegheny,FY 2015-2016,04/30/2016,1824,"3001 Beaver Avenue
Pittsburgh, PA 15233
(40.470253, -80.040614)"
Greene (GRN),State Correctional Institution,Greene,FY 2017-2018,04/30/2018,1845,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2017-2018,03/31/2018,141,"N/A
N/A, N/A N/A"
Quehanna Boot Camp (QUE),State Correctional Institution,Clearfield,FY 2016-2017,06/30/2017,443,"4395 Quehanna Hwy
Karthaus, PA 16845
(41.185194, -78.145537)"
Greene (GRN),State Correctional Institution,Greene,FY 2017-2018,09/30/2017,1693,"169 Progress Drive
Waynesburg, PA 15370
(39.904711, -80.13849)"
Community Corrections Center - Western,Community Corrections Center,N/A,FY 2016-2017,02/28/2017,157,"N/A
N/A, N/A N/A"
Community Contract Facility - Western,Community Contract Facility,N/A,FY 2017-2018,03/31/2018,163,"N/A
N/A, N/A N/A"
Forest (FRS),State Correctional Institution,Forest,FY 2016-2017,07/31/2016,2311,"286 Woodland Drive
Marienville, PA 16239
(41.480965, -79.098215)"
Pine Grove (PNG),State Correctional Institution,Indiana,FY 2016-2017,01/31/2017,958,"189 Fyock Road
Indiana, PA 15701
(40.647782, -79.102858)"
Coal Township (COA),State Correctional Institution,Northumberland,FY 2016-2017,04/30/2017,2291,"1 Kelley Drive
Coal Township, PA 17866
(40.805948, -76.552047)"
Community Corrections Center - Eastern,Community Corrections Center,N/A,FY 2017-2018,04/30/2018,66,"N/A
N/A, N/A N/A"
Benner Township (BEN),State Correctional Institution,Centre,FY 2017-2018,09/30/2017,2050,"Rockview Road
Benner, PA 16823
(40.85929, -77.778322)"
Community Contract Facility - Central,Community Contract Facility,N/A,FY 2017-2018,01/31/2018,144,"N/A
N/A, N/A N/A"
