SALAMONIE SCHOOL, WARREN, IN, 1063 E 900 S
SOUTHGATE MONTESSORI PRESCHOOL, SOUTH GATE, CA, 10108 CALIFORNIA AVE
SOUTHGATE SCHOOL, LOUDONVILLE, NY, 30 SOUTHGATE RD
SOUTHGATE-RIPPETOE ES, MOORE, OK, 500 NORTH NORMAN AVENUE
SOUTHINGTON CATHOLIC SCHOOL, SOUTHINGTON, CT, 133 BRISTOL ST
SOUTHINGTON ELEMENTARY SCHOOL, SOUTHINGTON, OH, 2482 STATE ROUTE 534
SOUTHINGTON HIGH SCHOOL, SOUTHINGTON, CT, 720 PLEASANT STREET
SOUTHINGTON MIDDLE SCHOOL, SOUTHINGTON, OH, 2482 STATE ROUTE 534
SOUTHINGTON PUBLIC SCHOOLS PRESCHOOL PROGRAM, PLANTSVILLE, CT, 820 MARION AVE
SOUTHINGTON PUBLIC SCHOOLS PRESCHOOL PROGRAM AT HATTON SCHO, SOUTHINGTON, CT, 50 SPRING LAKE RD
SOUTHLAND CHRISTIAN ACADEMY, DENHAM SPRINGS, LA, 7000 GLORYLAND WAY
SOUTHLAND COLLEGE PREP CHTR HS, RICHTON PARK, IL, 4601 SAUK TRL
SOUTHLAND ELEMENTARY, ROSE CREEK, MN, 201 1ST ST N
SOUTHLAND MIDDLE, ADAMS, MN, 203 2ND ST NW
SOUTHLAND SCHOOL, RIVERTON, UT, 12675 S 2700 W
SOUTHLAND SCHOOL, RIVERTON, UT, 12675 S 2700 W
SOUTHLAWN SCHOOL, ROCHESTER, NY, 455 RAWLINSON RD
SOUTHMORELAND EL SCH, SCOTTDALE, PA, 100 SCOTTIE WAY
SOUTHMORELAND PRIMARY CENTER, ALVERTON, PA, 1431 WATER ST
SOUTHPOINT ACADEMY, DURHAM, NC, 7415 FAYETTEVILLE RD
SOUTHPOINTE ADULT HIGH, WEST JORDAN, UT, 9301 S WIGHTS FORT RD
SOUTHPORT CENTRAL SCHOOL, SOUTHPORT, ME, 438 HENDRICKS HILL RD
SOUTHPORT ELEMENTARY, KENOSHA, WI, 723 76TH ST
SOUTHPORT HIGH SCHOOL, INDIANAPOLIS, IN, 971 E BANTA RD
SOUTHRIDGE MIDDLE SCHOOL, HUNTINGBURG, IN, 1112 S MAIN ST
SOUTHSHIRE COMMUNITY SCHOOL, NORTH BENNINGTON, VT, 24 BANK ST
SOUTHSIDE ACADEMY, YOUNGSTOWN, OH, 1400 OAK HILL AVE
SOUTHSIDE ACADEMY CHARTER SCHOOL, SYRACUSE, NY, 2200 ONONDAGA CREEK BLVD
SOUTHSIDE BAPTIST CHURCH & CHRISTIAN SCHOOL, WAYCROSS, GA, 3439 KNIGHT AVE
SOUTHSIDE CHRISTIAN SCHOOL, SIMPSONVILLE, SC, 2211 WOODRUFF RD
SOUTHSIDE EARLY CHILDHOOD CENTER, HARTSVILLE, SC, 1615 BLANDING DRIVE
SOUTHSIDE EL SCH, HUNTINGDON, PA, 10906 STATION ROAD
SOUTHSIDE ELEMENTARY, DINWIDDIE, VA, 10305 BOYDTON PLANK RD
SOUTHSIDE ELEMENTARY, HUNTINGTON, WV, 930 SECOND STREET
SOUTHSIDE ELEMENTARY, POWELL, WY, 278 E MONROE STREET
SOUTHSIDE ELEMENTARY, SPARTA, WI, 1023 WALRATH ST
SOUTHSIDE ELEMENTARY CHARTER, PROVIDENCE, RI, 135 PRAIRIE AVE
SOUTHSIDE ELEMENTARY SCHOOL, BUFFALO, NY, 430 SOUTHSIDE PKWY
SOUTHSIDE ELEMENTARY SCHOOL, CABOT, AR, 2600 S PINE ST
SOUTHSIDE ELEMENTARY SCHOOL, CAIRO, GA, 491 3RD ST SE
SOUTHSIDE ELEMENTARY SCHOOL, COCOLALLA, ID, SOUTHSIDE SCHOOL ROAD
SOUTHSIDE ELEMENTARY SCHOOL, CYNTHIANA, KY, 106 EDUCATION DR
SOUTHSIDE ELEMENTARY SCHOOL, FERNANDINA BEACH, FL, 1112 JASMINE ST
SOUTHSIDE ELEMENTARY SCHOOL, LAKE PROVIDENCE, LA, 1307 GOULD STREET
SOUTHSIDE ELEMENTARY SCHOOL, SARASOTA, FL, 1901 WEBBER ST
SOUTHSIDE ELEMENTARY SCHOOL, SOUTHSIDE, AL, 2551 HIGHWAY 77
SOUTHSIDE ELEMENTARY SCHOOL, STARKE, FL, 823 STANSBURY ST
SOUTHSIDE ELEMENTARY SCHOOL, VERSAILLES, KY, 1300 TROY PIKE
SOUTHSIDE ESTATES ELEMENTARY SCHOOL, JACKSONVILLE, FL, 9775 IVEY RD
SOUTHSIDE HIGH, GREENVILLE, SC, 6630 FRONTAGE AT WHITE HORSE ROAD
SOUTHSIDE HIGH SCHOOL, FORT SMITH, AR, 4100 GARY ST
SOUTHSIDE HIGH SCHOOL, YOUNGSVILLE, LA, 312 ALMONASTER RD
SOUTHSIDE MIDDLE SCHOOL, BATESVILLE, AR, 70 SCOTT DR
SOUTHSIDE MIDDLE SCHOOL, MUNCIE, IN, 1601 EAST 26TH ST
SOUTHSIDE OCCUPATIONAL ACAD HS, CHICAGO, IL, 7342 S HOYNE AVE
SOUTHSIDE PRIMARY SCHOOL, SELMA, AL, 3104 OLD MONTGOMERY HWY
SOUTHSIDE REGIONAL MEDICAL CENTER PROFESSIONAL SCHOOLS, COLONIAL HEIGHTS, VA, 430 CLAIRMONT COURT - SUITE 200
SOUTHSIDE SCHOOL, WOLF POINT, MT, 415 4TH AVENUE SOUTH
SOUTHSIDE TECHNICAL CENTER, LEXINGTON, KY, 1800 HARRODSBURG RD
SOUTHSIDE VIRGINIA COMMUNITY COLLEGE, ALBERTA, VA, 109 CAMPUS DRIVE
SOUTHSIDE VIRGINIA COMMUNITY COLLEGE - BLACKSTONE, BLACKSTONE, VA, 1041 W. 10TH STREET
SOUTHSIDE VIRGINIA COMMUNITY COLLEGE - CHASE CITY, CHASE CITY, VA, 316 N. MAIN STREET
SOUTHSIDE VIRGINIA COMMUNITY COLLEGE - CLARKSVILLE, CLARKSVILLE, VA, 1567 NOBLIN FARM ROAD
SOUTHSIDE VIRGINIA COMMUNITY COLLEGE - SOUTH HILL, SOUTH HILL, VA, 118 E DANVILLE RD
SOUTHVIEW, CRESTWOOD, MO, 11660 EDDIE AND PARK RD
SOUTHVIEW ELEM., KEARNEY, MO, 7 S CAMPUS DR
SOUTHVIEW ELEMENTARY, APPLE VALLEY, MN, 1025 WHITNEY DR
SOUTHVIEW ELEMENTARY, CHIPPEWA FALLS, WI, 615 A ST
SOUTHVIEW PRESCHOOL CENTER, ANDERSON, IN, 4500 MAIN ST
SOUTHWEST ATLANTA CHRISTIAN ACADEMY, ATLANTA, GA, 3911 CAMPBELLTON RD SW
SOUTHWEST BALTIMORE CHARTER SCHOOL, BALTIMORE, MD, 1300 HERKIMER ST
SOUTHWEST CALLOWAY ELEMENTARY SCHOOL, MURRAY, KY, 3426 WISWELL RD
SOUTHWEST CAMPUS, BUCKEYE, AZ, 500 N. VERRADO
SOUTHWEST CAREER AND TECHNICAL ACADEMY, LAS VEGAS, NV, 7050 W. SHELBOURNE AVE.
SOUTHWEST CHRISTIAN ACADEMY, LITTLE ROCK, AR, 11301 GEYER SPRINGS RD
SOUTHWEST CITY ELEM., SOUTHWEST CITY, MO, 411 ACADEMY ST
SOUTHWEST COLORADO E-SCHOOL, DURANGO, CO, 201 EAST 12TH STREET
SOUTHWEST COMMUNITY CAMPUS SCHOOL, GRAND RAPIDS, MI, 801 OAKLAND AVE SW
SOUTHWEST DETROIT COMMUNITY SCHOOL, DETROIT, MI, 4001 29TH ST
SOUTHWEST EARLY CHILDHOOD CTR, JEFFERSON CITY, MO, 812 ST MARY'S BLVD
SOUTHWEST ELEM SCHOOL, DANVILLE, IL, 14794 CATLIN TILTON
SOUTHWEST ELEM SCHOOL, EVERGREEN PARK, IL, 9900 S CENTRAL PARK
SOUTHWEST ELEMENTARY, CLEMMONS, NC, 1631 SOUTHWEST SCHOOL DRIVE
SOUTHWEST ELEMENTARY, GRAND RAPIDS, MN, 601 SW 7TH ST
SOUTHWEST ELEMENTARY, HIGH POINT, NC, 4372 SOUTHWEST SCHOOL ROAD
SOUTHWEST ELEMENTARY SCHOOL, BAY SHORE, NY, 1095 JOSELSEN AVE
SOUTHWEST HIGH, JACKSONVILLE, NC, 1420 BURGAW HWY
SOUTHWEST INSTITUTE OF HEALING ARTS, TEMPE, AZ, 1100 EAST APACHE BLVD
SOUTHWEST INTERMEDIATE LEARNING CENTER, ALBUQUERQUE, NM, 10301 CANDELARIA RD NE SUITE B
SOUTHWEST JR/SR HIGH SCHOOL, BARTLEY, NE, 900 COKE ST
SOUTHWEST LEGACY H S, VON ORMY, TX, 4495 VERANO PKWY BLDG 100
SOUTHWEST LICKING EARLY LEARNING CENTER, ETNA, OH, 927 SOUTH ST UNIT B
SOUTHWEST LIVINGSTON CO R-1 EL, LUDLOW, MO, 4944 HWY DD
SOUTHWEST LOUISIANA CHARTER ACADEMY, LAKE CHARLES, LA, 1700 EAST MCNEESE STREET
SOUTHWEST TENNESSEE COMMUNITY COLLEGE - FAYETTE, SOMERVILLE, TN, 121 WEST COURT SQUARE
SOUTHWEST TENNESSEE COMMUNITY COLLEGE - MAXINE A. SMITH CENTER, MEMPHIS, TN, 8800 EAST SHELBY DRIVE
SOUTHWEST TENNESSEE COMMUNITY COLLEGE - SOMERVILLE, SOMERVILLE, TN, 214 LAKEVIEW ROAD
SOUTHWEST VERMONT CAREER DEVELOPMENT CENTER, BENNINGTON, VT, 321 PARK STREET
SOUTHWEST VIRGINIA GOVERNOR'S SCHOOL, PULASKI, VA, 100 NORTHWOOD DRIVE
SOUTHWEST YOUTH AND FAMILY SERVICES, SEATTLE, WA, 4555 DELRIDGE WAY SW
SOUTHWESTERN ACADEMY, SAN MARINO, CA, 2800 MONTEREY RD.
SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY, WAXAHACHIE, TX, 1200 SYCAMORE
SOUTHWESTERN CHRISTIAN COLLEGE, TERRELL, TX, 200 BOWSER CIRCLE
SOUTHWESTERN COMMUNITY COLLEGE - MACON CAMPUS, FRANKLIN, NC, 44 SILER FARM ROAD
SOUTHWESTERN ELEMENTARY SCHOOL, JAMESTOWN, NY, 600 HUNT RD W
SOUTHWESTERN ELEMENTARY SCHOOL, PATRIOT, OH, 4834 STATE ROUTE 325
SOUTHWESTERN INDIAN POLYTECHNIC INSTITUTE, ALBUQUERQUE, NM, 9169 COORS BLVD NW
SOUTHWESTERN RANDOLPH MIDDLE, ASHEBORO, NC, 1509 HOPEWELL FRIENDS RD
SOUTHWOOD ELEMENTARY SCHOOL, PINE BLUFF, AR, 4200 FIR STREET
SOUTHWOOD ELEMENTARY SCHOOL, WABASH, IN, 840 E SR 124
SOUTHWOOD HIGH SCHOOL, SHREVEPORT, LA, 9000 WALKER ROAD
SOWELA TECHNICAL COMMUNITY COLLEGE - MORGAN SMITH CAMPUS, JENNINGS, LA, 1320 N. MAIN STREET
SOWERS ELEMENTARY SCHOOL, ROANOKE, IL, 202 W HIGH ST
SPA TECH INSTITUTE-PLYMOUTH, PLYMOUTH, MA, 59 INDUSTRIAL PARK RD
SPANISH FORK JR HIGH, SPANISH FORK, UT, 600 S 820 E
SPANISH FORT HIGH SCHOOL, SPANISH FORT, AL, ONE PLAZA DE TOROS
SPANISH HOUSE ELEMENTARY SCHOOL, DALLAS, TX, 7159 E GRAND AVE
SPANISH LAKE ELEMENTARY SCHOOL, HIALEAH, FL, 7940 NW 194TH ST
SPANISH RIVER CHRISTIAN SCHOOL, BOCA RATON, FL, 2400 NW 51ST ST
SPANISH SCHOOLHOUSE, FRISCO, TX, 6065 ESTHER WAY
SPANISH SCHOOLHOUSE, ROCKWALL, TX, 1524 SMIRL DR
SPANISH SPRINGS ELEMENTARY SCHOOL, SPARKS, NV, 100 MARILYN MAE DRIVE
SPANOS (ALEX G.) ELEMENTARY, STOCKTON, CA, 536 S. CALIFORNIA ST.
SPARK ACADEMY, LAWRENCE, MA, 165 CRAWFORD STREET
SPARKMAN ELEMENTARY SCHOOL, SPARKMAN, AR, 325 W MAIN ST
SPARR ELEMENTARY SCHOOL, ANTHONY, FL, 2525 E HWY 329
SPARROWS POINT HIGH, SPARROWS POINT, MD, 7400 N POINT RD
SPARTA ACADEMY, EVERGREEN, AL, 300 PIERCE ST
SPARTA ALTERNATIVE INDEPENDENT LEARNING SCHOOL, SPARTA, WI, 201 E FRANKLIN ST
SPARTA HIGH SCHOOL, SPARTA, NJ, 70 WEST MOUNTAIN ROAD
SPARTAN COLLEGE OF AERONAUTICS & TECHNOLOGY, INGLEWOOD, CA, 8911 AVIATION BLVD
SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY, TULSA, OK, 8820 EAST PINE STREET
SPARTANBURG COMMUNITY COLLEGE - UNION COUNTY CAMPUS, UNION, SC, 1401 FURMAN L. FENDLEY HIGHWAY (HIGHWAY 176)
SPARTANBURG DAY SCHOOL, SPARTANBURG, SC, 1701 SKYLYN DR
SPARTANBURG METHODIST COLLEGE, SPARTANBURG, SC, 1000 POWELL MILL ROAD
SPAULDING ELEMENTARY, LAMAR, SC, 204 EAST PEARL STREET
SPAULDING ELEMENTARY SCHOOL, GOSHEN, OH, 6755 LINTON RD
SPAULDING SCHOOL, MIDLOTHIAN, IL, 14811 TURNER AVE
SPEARFISH ACADEMY AT CANYON HILLS ELEMENTARY - 09, SPEARFISH, SD, 2519 WINDMILL DR
SPECIAL ACRES SCHOOL, PARK HILLS, MO, 519 EIGHTH ST
SPECIAL EDUCATION PRE-SCHOOL, TOMALES, CA, 40 JOHN ST.
SPECIAL EDUCATION SERVICESSOUTH, FLINT, MI, 5089 PILGRIM RD
SPECTRUM CENTER - TARA HILLS, SAN PABLO, CA, 16330 SAN PABLO AVE
SPECTRUM CENTER DELTA CAMPUS, PITTSBURG, CA, 135 E. LELAND RD.
SPECTRUM SCHOOLS MISSION VALLEY CAMPUS, HAYWARD, CA, 2021 HIGHLAND BLVD
SPECTRUM SCHOOLS SAN GORGONIO, SAN BERNARDINO, CA, 2299 PACIFIC ST
SPELL WELL MONTESSORI SCHOOL, SPRING, TX, 17512 W STRACK DR
SPENCE ELEMENTARY, LA CROSSE, WI, 2150 BENNETT ST
SPENCE MEMORIAL ES, WELEETKA, OK, 302 E 6TH ST
SPENCER COUNTY ELEMENTARY SCHOOL, TAYLORSVILLE, KY, 1265 MT. WASHINGTON RD.
SPENCER CROSSING, NEW LENOX, IL, 1711 SPENCER RD
SPENCER HIGH SCHOOL, SPENCER, IA, 800 E 3RD ST
SPENCER MIDDLE SCHOOL, SPENCER, IA, 1400 10TH AVENUE EAST
SPENCER MIDDLE SCHOOL, SPENCER, WV, 102 CHAPMAN AVENUE
SPENCER ROAD ELEMENTARY SCHOOL, BRIGHTON, MI, 10639 SPENCER RD
SPENCER SCHOOL, MIDDLETOWN, CT, 207 WESTFIELD ST.
SPERO ACADEMY, MINNEAPOLIS, MN, 1534 6TH ST NE
SPICEWOOD PARK EL, SAN ANTONIO, TX, 11303 TILSON
SPICKARD ELEM., SPICKARD, MO, 105 N 4TH ST
SPINNING HILLS MIDDLE SCHOOL (5-6), DAYTON, OH, 5001 EASTMAN AVE
SPIRIT LAKE ELEMENTARY SCHOOL, SPIRIT LAKE, ID, 32605 NORTH 5TH AVENUE
SPIRIT OF LIFE CHRISTIAN ACADEMY, CLINTON, NC, 180 OVERLAND RD
SPOFFORD POND, BOXFORD, MA, 31 SPOFFORD ROAD
SPOKANE COMMUNITY COLLEGE - INCHELIUM CENTER, INCHELIUM, WA, 14 COMMUNITY CENTER LOOP
SPOON RIVER COLLEGE, CANTON, IL, 23235 NORTH COUNTY 22
SPOON RIVER VALLEY ELEM SCHOOL, LONDON MILLS, IL, 35265 N IL ROUTE 97
SPOTSWOOD ELEMENTARY, FREDERICKSBURG, VA, 400 LORRAINE AVE
SPOTSWOOD HIGH SCHOOL, SPOTSWOOD, NJ, 105 SUMMERHILL ROAD
SPOUT SPRINGS ELEMENTARY SCHOOL, FLOWERY BRANCH, GA, 6640 SPOUT SPRINGS RD
SPRAGUE SCHOOL, WATERBURY, CT, 1443 THOMASTON AVE.
SPRECKELS ELEMENTARY, SAN DIEGO, CA, 6033 STADIUM ST.
SPRING AVE ELEM SCHOOL, LA GRANGE, IL, 1001 S SPRING AVE
SPRING BLUFF ELEM., SULLIVAN, MO, 9374 HWY 185
SPRING CREEK ES, BROKEN ARROW, OK, 6801 SOUTH THIRD STREET
SPRING CREEK HIGH, SEVEN SPRINGS, NC, 4340 INDIAN SPRINGS RD
SPRING CREEK MIDDLE SCHOOL, PROVIDENCE, UT, 350 W 100 N
SPRING CREEK YOUTH SERVICES CENTER, COLORADO SPRINGS, CO, 3190 EAST LAS VEGAS
SPRING EARLY COLLEGE ACADEMY, HOUSTON, TX, 1001 SOUTHRIDGE
SPRING FARMS EL SCH, THREE SPRINGS, PA, 12075 OLD PLANK ROAD
SPRING GROVE AREA HS, SPRING GROVE, PA, 1490 ROTH CHURCH ROAD
SPRING GROVE ELEMENTARY, SPRING GROVE, MN, 113 2ND AVE NW
SPRING GROVE ELEMENTARY SCHOOL, SPRING GROVE, IL, 2018 MAIN STREET RD
SPRING GROVE PRIMARY CENTER, GALENA, KS, 1900 GALENA AVE.
SPRING H S, SPRING, TX, 19428 INTERSTATE 45 N
SPRING HARBOR MIDDLE, MADISON, WI, 1110 SPRING HARBOR DR
SPRING HILL ELEMENTARY, KNOXVILLE, TN, 4711 MILDRED DR
SPRING HILL ELEMENTARY, TRENTON, TN, 84 STATE ROUTE 188
SPRING HILL ELEMENTARY, WISCONSIN DELLS, WI, 300 VINE ST
SPRING HILL ELEMENTARY SCHOOL, HOPE, AR, 633 HWY 355 W
SPRING HILL ELEMENTARY SCHOOL, HUNTINGTON, WV, 1901 HALL AVENUE
SPRING HILL HIGH, CHAPIN, SC, 11629 BROAD RIVER ROAD
SPRING HILL HIGH, MARIPOSA, CA, PO BOX 8
SPRING HILL HIGH SCHOOL, HOPE, AR, 633 HWY 355 W
SPRING HILL HIGH SCHOOL, SPRING HILL, KS, 19701 S. RIDGEVIEW
SPRING HILL MIDDLE, LAURINBURG, NC, 22801 AIRBASE ROAD
SPRING HILL SCHOOL, LINESVILLE, PA, 2271 W CENTER RD
SPRING HILLS ELEM SCHOOL, ROSELLE, IL, 560 PINECROFT DR
SPRING HOPE ELEMENTARY, SPRING HOPE, NC, 401 MCLEAN STREET
SPRING LAKE ELEMENTARY, OCOEE, FL, 1105 SARAH LEE LN
SPRING LAKE ELEMENTARY, WOODLAND, CA, 2209 MIEKLE AVE.
SPRING LAKE HEIGHTS ELEMENTARY SCHOOL, SPRING LAKE HEIGHTS, NJ, 1110 HIGHWAY 71
SPRING LAKE HIGH SCHOOL, SPRING LAKE, MI, 16140 148TH AVE
SPRING LAKE INTERMEDIATE SCHOOL, SPRING LAKE, MI, 345 HAMMOND ST
SPRING LAKE PARK EL, TEXARKANA, TX, 4324 GHIO FISH BLVD
SPRING MEADOW EARLY CHILDHOOD CENTER, TOWNSEND, DE, 611 CAMPUS DRIVE
SPRING MILLS MIDDLE SCHOOL, MARTINSBURG, WV, 255 CAMPUS DRIVE
SPRING MOUNTAIN ELEMENTARY SCHOOL, HAPPY VALLEY, OR, 11645 SE MASA LN
SPRING PARK ELEMENTARY SCHOOL, JACKSONVILLE, FL, 2250 SPRING PARK RD
SPRING PLACE ELEMENTARY SCHOOL, CHATSWORTH, GA, 2795 LEONARD BRIDGE RD
SPRING RIDGE ACADEMY, SPRING VALLEY, AZ, 13690 S BURTON RD
SPRING RIDGE EL SCH, WYOMISSING, PA, 1211 BROADCASTING RD
SPRING RIDGE ELEMENTARY, FREDERICK, MD, 9051 RIDGEFIELD DR
SPRING RIDGE ELEMENTARY, OMAHA, NE, 17830 SHADOW RIDGE DR
SPRING TRAIL ELEMENTARY SCHOOL, CAROL STREAM, IL, 1384 SPRING VALLEY
SPRING VALLEY ACADEMY, SPRING VALLEY, CA, 3900 CONRAD DR.
SPRING VALLEY ELEMENTARY, DURHAM, NC, 2051 NORTHERN DURHAM PRKY
SPRING VALLEY ELEMENTARY, SAN FRANCISCO, CA, 1451 JACKSON ST.
SPRING VALLEY HIGH SCHOOL, LAS VEGAS, NV, 3750 S. BUFFALO DR.
SPRING VIEW ELEMENTARY SCHOOL, SPRINGVIEW, NE, 101 FOOTBALL AVE
SPRING-FORD INTRMD SCH 5TH/6TH, ROYERSFORD, PA, 833 SOUTH LEWIS ROAD
SPRINGBROOK HIGH, SILVER SPRING, MD, 201 VALLEYBROOK DR
SPRINGBROOK MIDDLE SCHOOL, ADRIAN, MI, 615 SPRINGBROOK AVE
SPRINGDALE ACADEMY, SPRINGDALE, WA, 500 N 4TH ST
SPRINGDALE EDUCATION CENTER, HOLYOKE, MA, 317 MAPLE ST STE LL1
SPRINGDALE SCHOOL, SPRINGDALE, UT, 898 ZION PARK BLVD
SPRINGDALE SCHOOL, STAMFORD, CT, 1127 HOPE ST.
SPRINGER ELEMENTARY, MOUNTAIN VIEW, CA, 1120 ROSE AVE.
SPRINGER ES, SPRINGER, OK, 16624 US HWY 77
SPRINGFIELD BALL CHARTER SCHOOL, SPRINGFIELD, IL, 2530 E ASH ST
SPRINGFIELD CATHOLIC HIGH SCHOOL, SPRINGFIELD, MO, 2340 S EASTGATE AVE
SPRINGFIELD CHRISTIAN ACADEMY, CLARKSTON, MI, 8585 DIXIE HWY
SPRINGFIELD CHRISTIAN SCHOOL, SPRINGFIELD, IL, 2850 CIDER MILL LN
SPRINGFIELD CHRISTIAN SCHOOL, SPRINGFIELD, OH, 311 W HIGH ST
SPRINGFIELD EL SCH, QUAKERTOWN, PA, 1950 ROUTE 212
SPRINGFIELD ELEMENTARY, CHARLESTON, SC, 2130 PINEHURST AVENUE
SPRINGFIELD ELEMENTARY, GREENWOOD, SC, 1608 FLORIDA AVENUE
SPRINGFIELD ELEMENTARY, RILEYVILLE, VA, 158 BIG SPRING LANE
SPRINGFIELD ELEMENTARY, SPRINGFIELD, MN, 12 S BURNS
SPRINGFIELD ELEMENTARY SCHOOL, MICHIGAN CITY, IN, 3054 W 800 N
SPRINGFIELD ELEMENTARY SCHOOL, SPRINGFIELD, GA, 300 OLD DIXIE HWY S
SPRINGFIELD ELEMENTARY SCHOOL, SPRINGFIELD, NE, 765 MAIN ST
SPRINGFIELD HIGH SCHOOL, SPRINGFIELD, IL, 101 S LEWIS ST
SPRINGFIELD HIGH SCHOOL, SPRINGFIELD, TN, 5240 HWY 76 EAST
SPRINGFIELD HIGH SCHOOL OF SCIENCE AND TECHNOLOGY, SPRINGFIELD, MA, 1250 STATE STREET
SPRINGFIELD LEARNING ACADEMY, SPRINGFIELD, IL, 101 E LAUREL ST
SPRINGFIELD LUTHERAN SCHOOL, SPRINGFIELD, MO, 2852 S DAYTON AVE
SPRINGFIELD MIDDLE, WILLIAMSPORT, MD, 334 SUNSET AVE
SPRINGFIELD MIDDLE SCHOOL, SPRINGFIELD, MI, 1023 AVENUE A
SPRINGFIELD PARK ELEMENTARY, GLEN ALLEN, VA, 4301 FORT MCHENRY PKWY
SPRINGFIELD PUBLIC DAY HIGH SCHOOL, SPRINGFIELD, MA, 90 BERKSHIRE STREET
SPRINGFIELD SEVENTH-DAY ADVENTIST JUNIOR ACADEMY, SPRINGFIELD, MO, 704 S BELVIEW AVE
SPRINGHILL ELEMENTARY, LAFAYETTE, CA, 3301 SPRINGHILL RD.
SPRINGHILL LAKE ELEMENTARY, GREENBELT, MD, 6060 SPRINGHILL DR
SPRINGMAN MIDDLE SCHOOL, GLENVIEW, IL, 2701 CENTRAL RD
SPRINGMILL STEM ELEMENTARY, MANSFIELD, OH, 1200 NESTOR DR
SPRINGPORT ELEMENTARY SCHOOL, SPRINGPORT, MI, 300 WEST MAIN ST
SPRINGPORT MIDDLE SCHOOL, SPRINGPORT, MI, 300 W MAIN ST
SPRINGRIDGE EL, RICHARDSON, TX, 1801 E SPRING VLY RD
SPRINGS BAPTIST ACADEMY, COLORADO SPRINGS, CO, 3500 N NEVADA AVE
SPRINGS SCHOOL, EAST HAMPTON, NY, 48 SCHOOL ST
SPRINGS STUDIO FOR ACADEMIC EXCELLENCE, COLORADO SPRINGS, CO, 6113 CONSTITUTION AVE
SPRINGTON LAKE MONTESSORI SCHOOL, NEWTOWN SQUARE, PA, 4102 W CHESTER PIKE
SPRINGTON MANOR EL SCH, GLENMOORE, PA, 400 FAIRVIEW ROAD
SPRINGVILLE ELEMENTARY, SPRINGVILLE, CA, 35424 WARD AVE.
SPRINGVILLE ELEMENTARY SCHOOL, MT  LAUREL, NJ, 520 HARTFORD ROAD
SPRINGVILLE ELEMENTARY SCHOOL, SPRINGVILLE, AL, 75 WILSON STREET
SPRINGVILLE ELEMENTARY SCHOOL, SPRINGVILLE, IA, 602 MILL AVE
SPRINGVILLE ELEMENTARY SCHOOL, SPRINGVILLE, NY, 283 NORTH ST
SPRINGVILLE HIGH SCHOOL, SPRINGVILLE, AL, 8295 U S HWY 11
SPRINGWATER ENVIRONMENTAL SCIENCES SCHOOL, OREGON CITY, OR, 16491 S SPRINGWATER RD
SPRINGWOOD SCHOOL, LANETT, AL, 1814 CHERRY DR
SPROUTING TO SUCCESS, MIAMI GARDENS, FL, 18061 NW 27TH AVE
SPRUCE MOUNTAIN ELEMENTARY SCHOOL, JAY, ME, 12 TIGER DRIVE
SPRUCE MOUNTAIN PRIMARY SCHOOL, LIVERMORE, ME, 107 GIBBS MILL ROAD
SPRUCE PINE MONTESSORI SCHOOL, SPRUCE PINE, NC, 67 WALNUT AVE
SPRUCE SCHOOL, NORTH TONAWANDA, NY, 195 SPRUCE ST
SPRUCE STREET SCHOOL, NEW YORK, NY, 12 SPRUCE ST
SPRUCETREE MONTESSORI SCHOOL, FAIRBANKS, AK, 286 N CUSHMAN ST
SPRUCEWOOD SCHOOL, SANDY, UT, 12025 S 1000 E
SPRUNICA ELEMENTARY SCHOOL, NINEVEH, IN, 3611 SPRUNICA RD
SPRY COMMUNITY LINKS HIGH SCHOOL, CHICAGO, IL, 2400 S MARSHALL BLVD
SPUR SCHOOL, SPUR, TX, 800 N WILLIAMS
SQUADRON LINE SCHOOL, SIMSBURY, CT, 44 SQUADRON LINE RD.
SQUANNACOOK EARLY CHILDHOOD CENTER, TOWNSEND, MA, 66 BROOKLINE ROAD
SQUAW VALLEY ACADEMY, OLYMPIC VALLEY, CA, 235 SQUAW VALLEY RD
SQUIRES ELEMENTARY SCHOOL, LEXINGTON, KY, 3337 SQUIRE OAK DR.
SRU EL SCH, EAST SMITHFIELD, PA, 1 CHURCH STREET
SS ANDREW-THOMAS SCHOOL, POTOSI, WI, 100 HWY 61 N
SS FELICITAS & PERPETUA SCHOOL, SAN MARINO, CA, 2955 HUNTINGTON DR
SS JOACHIM & ANNE SCHOOL, QUEENS VILLAGE, NY, 21819 105TH AVE
SS JOHN & PAUL SCHOOL, LARCHMONT, NY, 280 WEAVER ST STE 2
SS PETER & PAUL HIGH SCHOOL, EASTON, MD, 900 HIGH ST
SS PETER & PAUL SCHOOL, BEAVER, PA, 370 E END AVE
SS PETER & PAUL SCHOOL, BOONVILLE, MO, 502 7TH ST
SS PETER & PAUL SCHOOL, CARY, IL, 416 N FIRST ST
SS PETER & PAUL SCHOOL, WATERBURY, CT, 116 BEECHER AVE
SS PHILIP & JAMES SCHOOL, BRONX, NY, 1160 E 213TH ST
SS ROBERT & WILLIAM CATHOLIC SCHOOL, EUCLID, OH, 351 E 260TH ST
SSG MANUEL R PUENTES, EL PASO, TX, 3216 TIM FOSTER
ST ABRAHAM'S CLASSICAL CHRISTIAN ACADEMY, APTOS, CA, 1940 BONITA DR
